摘要キーワード,自社PL勘定項目,金額下限,金額上限,データソース区分
普通預金 利息,本部売上,,,あおぞら
シブヤ ケイタ,本部売上,,,
シブヤ　ケイタ,本部売上,,,あおぞら
tiktok,本部売上,,,
ユ－スポ,支払報酬,,,あおぞら
ト－タルリンクス,返済費用,,,あおぞら
チユウオウロウキン ノダ,地代家賃,,,あおぞら
カナガワ エイトプラス,車両運搬費,,,あおぞら
ラクテン ナカムラ,支払報酬,,,あおぞら
ナカムラ　シユウヘイ,支払報酬,,,あおぞら
賞与,賞与,,,
労働保険,労働保険料,,,
他税金,他税金支払い,,,
退職金積み立て,退職金積み立て,59900,60100,
退職金,退職金積み立て,59900,60100,
福利厚生費,福利厚生,10000,,
ととうお,福利厚生,10000,,
管理者懇親会,福利厚生,10000,,
エネフリ,旅費交通費,,,エネクスフリート
GFパーク上町,旅費交通費,,,
三井のリパーク,旅費交通費,,,
パラカ株式会社,旅費交通費,,,
スターツアメニティー株式会社,旅費交通費,,,
駐車場代,旅費交通費,,,
接待交際費,接待交際費,10000,,
チユウオウロウキン ノダ アサコ,地代家賃,,,
エポスカード,地代家賃,,,
家賃,地代家賃,,,
地代家賃,地代家賃,,,
渋谷　家賃,地代家賃,,,
PARK DIRECT,地代家賃,,,
エリア・パーキング,地代家賃,,,
AREA PARKING,地代家賃,,,
パーキングマーケット,地代家賃,,,
CSS(ﾊﾟ-ｷﾝｸﾞﾏ-ｹﾂ,地代家賃,,,
SMBC(ﾁﾝﾘﾖｳ,地代家賃,,,
SMBC(NIﾔﾁﾝ,地代家賃,,,
ソフトバンクＭ,通信費,6700,6900,アメックス
ソフトバンクＭ,通信費,10300,10800,アメックス
Ｍａｎｅｑｌ,通信費,,,アメックス
ＬＩＮＥ公式アカウント,通信費,,,アメックス
GOOGLE *CHATGPT,通信費,,,アメックス
アドビ（株）,通信費,,,アメックス
アドビ,通信費,,,アメックス
ソフトバンクM,通信費,6700,6900,アメックス
ソフトバンクM,通信費,10300,10800,アメックス
エックスサーバー,通信費,,,アメックス
プラスワン,通信費,,,
ＥＮＥＯＳ,旅費交通費,,,アメックス
ミツイスミトモ コヤマ,備品消耗品費,,,横浜信金
小山株式会社,備品消耗品費,,,
マスク,備品消耗品費,,,
富士フィルムビジネスイノベーション,備品消耗品費,,,
AXEL,備品消耗品費,,,
株式会社ジャックス,車両運搬費,,,横浜信金
メルセデスベンツ,車両運搬費,,,
車両費,車両運搬費,,,
Ｊａｐａｎ電力株式会社,水道光熱費,,,アメックス
Japan電力,水道光熱費,,,
日新火災海上保険,保険料,,,横浜信金
損害保険料,保険料,,,
印紙,租税公課,,,横浜信金
横浜地方法務局,租税公課,,,
カラオケまねきねこ,雑費,,,横浜信金
Ｓｕｉｃａ〔携帯決済〕,雑費,,,アメックス
カナガワケンホウモンカンゴステ,雑費,,,横浜信金
ユウチヨ シヤ）カナガワケンホウモンカンゴ,雑費,,,横浜信金
GMOあおネット銀行,雑費,,,あおぞら
とくとく会員,雑費,,,あおぞら
キャッシュバック,本部売上,,,
振込手数料,雑費,,,
手数料,雑費,,,
オーケー新子安店,雑費,,,アメックス
アマゾンサービシーズインターナショナル,雑費,,,アメックス
アマゾン　シーオージェーピー,雑費,,,アメックス
イトーヨーカドー,雑費,,,アメックス
マルエツ,雑費,,,アメックス
日本訪問看護財団,雑費,,,アメックス
ファミリーマート,雑費,,,アメックス
南江堂オンラインショッピング,雑費,,,アメックス
メドレー,広告宣伝費,,,
リコーリース,リース料,,,
NSS.ｾﾞｲﾘｼﾎｳｼﾕｳ,支払報酬,,,横浜信金
NSS.,支払報酬,,,横浜信金
トウカイロウキン ナカムラ シユウヘイ,支払報酬,,,横浜信金
カ）アクナキラボ,支払報酬,,,横浜信金
香喜心綜合事務所,支払報酬,,,横浜信金
顧問料,支払報酬,,,
極度型ローン,返済,,,横浜信金
日本政策金融公庫,返済,,,横浜信金
特別貸付,返済,,,横浜信金
ミツイスミトモ カ） ト－タルリンクス,返済費用,,,横浜信金
トータルリンクス,返済費用,,,
カ）ネコノ－ト,コンサル使用経費,,,横浜信金
TASKAR COLORS INC.,コンサル使用経費,,,アメックス
ネコノ,コンサル使用経費,,,
